MEDIUM DATASET — 100 Toxic Words (Filipino & English),,,,,
#,Language,Plain Word,Leet Variant 1 (Basic),Leet Variant 2 (Intermediate),Category
1,Filipino,bobo,b0b0,8080,Profanity
2,Filipino,tanga,74ng4,74n94,Profanity
3,Filipino,gago,g4g0,9490,Profanity
4,Filipino,ulol,ul0l,u101,Profanity
5,Filipino,inutil,1nu71l,1nu711,Insult
6,Filipino,tarantado,74r4n74d0,74r4n74d0,Insult
7,Filipino,hunghang,hungh4ng,hun9h4n9,Insult
8,Filipino,leche,l3ch3,13ch3,Profanity
9,Filipino,gaga,g4g4,9494,Profanity
10,Filipino,tangina,74ng1n4,74n91n4,Profanity
11,Filipino,putang ina,pu74ng 1n4,pu74n9 1n4,Profanity
12,Filipino,engot,3ng07,3n907,Insult
13,Filipino,loko,l0k0,10k0,Insult
14,Filipino,mangmang,m4ngm4ng,m4n9m4n9,Insult
15,Filipino,buwisit,buw1517,8uw1517,Profanity
16,Filipino,siraulo,51r4ul0,51r4u10,Insult
17,Filipino,hayop,h4y0p,h4y0p,Profanity
18,Filipino,pakyu,p4kyu,p4kyu,Profanity
19,Filipino,gunggong,gungg0ng,9un990n9,Insult
20,Filipino,puta,pu74,pu74,Profanity
21,Filipino,kupal,kup4l,kup41,Profanity
22,Filipino,hindot,h1nd07,h1nd07,Profanity
23,Filipino,punyeta,puny374,puny374,Profanity
24,Filipino,suso,5u50,5u50,Profanity
25,Filipino,salot,54l07,54107,Insult
26,Filipino,bastos,b45705,845705,Insult
27,Filipino,buang,bu4ng,8u4n9,Insult
28,Filipino,baliw,b4l1w,8411w,Insult
29,Filipino,panget,p4ng37,p4n937,Insult
30,Filipino,duwag,duw4g,duw49,Insult
31,Filipino,animal,4n1m4l,4n1m41,Profanity
32,Filipino,lintik,l1n71k,11n71k,Profanity
33,Filipino,tamad,74m4d,74m4d,Insult
34,Filipino,bigo,b1g0,8190,Insult
35,Filipino,epal,3p4l,3p41,Insult
36,Filipino,plastik,pl4571k,p14571k,Insult
37,Filipino,traydor,7r4yd0r,7r4yd0r,Insult
38,Filipino,mayabang,m4y4b4ng,m4y484n9,Insult
39,Filipino,kadiri,k4d1r1,k4d1r1,Insult
40,Filipino,sinungaling,51nung4l1ng,51nun9411n9,Insult
41,Filipino,manhid,m4nh1d,m4nh1d,Insult
42,Filipino,salbahe,54lb4h3,54184h3,Insult
43,Filipino,hambog,h4mb0g,h4m809,Insult
44,Filipino,baduy,b4duy,84duy,Insult
45,Filipino,ampon,4mp0n,4mp0n,Insult
46,Filipino,walang hiya,w4l4ng h1y4,w414n9 h1y4,Insult
47,Filipino,sawsaw,54w54w,54w54w,Insult
48,Filipino,mapanira,m4p4n1r4,m4p4n1r4,Insult
49,Filipino,demonyito,d3m0ny170,d3m0ny170,Profanity
50,Filipino,makulit,m4kul17,m4ku117,Insult
51,English,idiot,1d107,1d107,Insult
52,English,stupid,57up1d,57up1d,Insult
53,English,noob,n00b,n008,Gaming Insult
54,English,trash,7r45h,7r45h,Gaming Insult
55,English,loser,l053r,1053r,Insult
56,English,moron,m0r0n,m0r0n,Insult
57,English,toxic,70x1c,70x1c,Gaming
58,English,bot,b07,807,Gaming Insult
59,English,garbage,g4rb4g3,94r8493,Gaming Insult
60,English,pathetic,p47h371c,p47h371c,Insult
61,English,useless,u53l355,u531355,Insult
62,English,hacker,h4ck3r,h4ck3r,Gaming
63,English,cheater,ch3473r,ch3473r,Gaming
64,English,cancer,c4nc3r,c4nc3r,Harassment
65,English,retard,r374rd,r374rd,Harassment
66,English,coward,c0w4rd,c0w4rd,Insult
67,English,worthless,w0r7hl355,w0r7h1355,Insult
68,English,clown,cl0wn,c10wn,Insult
69,English,failure,f41lur3,f411ur3,Insult
70,English,weak,w34k,w34k,Gaming Insult
71,English,troll,7r0ll,7r011,Gaming
72,English,feeder,f33d3r,f33d3r,Gaming Insult
73,English,inting,1n71ng,1n71n9,Gaming Insult
74,English,hardstuck,h4rd57uck,h4rd57uck,Gaming Insult
75,English,dogwater,d0gw473r,d09w473r,Gaming Insult
76,English,griefing,gr13f1ng,9r13f1n9,Gaming
77,English,scrub,5crub,5cru8,Gaming Insult
78,English,brainless,br41nl355,8r41n1355,Insult
79,English,scum,5cum,5cum,Insult
80,English,filth,f1l7h,f117h,Insult
81,English,weirdo,w31rd0,w31rd0,Insult
82,English,freak,fr34k,fr34k,Insult
83,English,terrible,73rr1bl3,73rr1813,Insult
84,English,awful,4wful,4wfu1,Insult
85,English,uninstall,un1n574ll,un1n57411,Gaming Insult
86,English,reported,r3p0r73d,r3p0r73d,Gaming
87,English,bronze,br0nz3,8r0nz3,Gaming Insult
88,English,ez,3z,3z,Gaming
89,English,mad,m4d,m4d,Insult
90,English,rage,r4g3,r493,Gaming
91,English,afk,4fk,4fk,Gaming
92,English,suck,5uck,5uck,Insult
93,English,die,d13,d13,Harassment
94,English,autism,4u715m,4u715m,Harassment
95,English,cripple,cr1ppl3,cr1pp13,Harassment
96,English,ez clap,3z cl4p,3z c14p,Gaming
97,English,go next,g0 n3x7,90 n3x7,Gaming
98,English,jerk,j3rk,j3rk,Insult
99,English,dumb,dumb,dum8,Insult
100,English,boosted,b00573d,800573d,Gaming Insult
